"","Geneid","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"9606","ENSG00000197785.14",799.514780704901,788.874403341686,803.827777752414,"ENSG00000197785","ATAD3A"
"9607","ENSG00000197798.9",1213.42229102724,1341.39038136338,1348.47451169118,"ENSG00000197798","FAM118B"
"9608","ENSG00000197808.13",516.652823162088,494.831747252894,478.839749641264,"ENSG00000197808","ZNF461"
"9609","ENSG00000197818.12",453.459509130598,492.882993762058,534.859835920481,"ENSG00000197818","SLC9A8"
"9610","ENSG00000197841.15",1278.36066959965,1240.72862640209,1051.88206479289,"ENSG00000197841","ZNF181"
"9611","ENSG00000197852.12",240.351177540641,298.656744813011,313.581275479369,"ENSG00000197852","FAM212B"
"9612","ENSG00000197852.12",240.351177540641,298.656744813011,313.581275479369,"ENSG00000197852","FAM212B"
"9613","ENSG00000197857.15",595.103772667916,554.083540431981,622.386135720037,"ENSG00000197857","ZNF44"
"9614","ENSG00000197858.11",1734.48390873658,1690.57636445335,1795.78870514819,"ENSG00000197858","GPAA1"
"9615","ENSG00000197860.10",2604.49263542464,2490.07534093498,2437.91724377694,"ENSG00000197860","SGTB"
"9616","ENSG00000197863.9",471.932702973778,453.121752923406,685.837685045739,"ENSG00000197863","ZNF790"
"9617","ENSG00000197879.17",1194.45962767273,1237.98400064531,1240.90480399499,"ENSG00000197879","MYO1C"
"9618","ENSG00000197885.11",1640.49733252434,1645.25361739436,1643.52489057701,"ENSG00000197885","NKIRAS1"
"9619","ENSG00000197892.13",1927.25796235635,2018.15877144625,2043.4939463966,"ENSG00000197892","KIF13B"
"9620","ENSG00000197894.12",7207.22069650504,7172.40051272556,6848.9645161297,"ENSG00000197894","ADH5"
"9621","ENSG00000197905.10",700.751756516205,679.82446287841,631.48492875073,"ENSG00000197905","TEAD4"
"9622","ENSG00000197912.16",1661.48199738424,1824.79936182999,2033.29302115979,"ENSG00000197912","SPG7"
"9623","ENSG00000197928.11",2122.2437511395,1927.14846311301,1906.22713213904,"ENSG00000197928","ZNF677"
"9624","ENSG00000197930.13",12287.8309347516,11655.3206152902,11544.2510517334,"ENSG00000197930","ERO1A"
"9625","ENSG00000197933.13",467.700246637959,450.508883088752,528.741682876051,"ENSG00000197933","ZNF823"
"9626","ENSG00000197937.13",685.155586921971,768.99015457584,957.441806410894,"ENSG00000197937","ZNF347"
"9627","ENSG00000197948.11",268.915107847214,308.988255231841,386.206790409234,"ENSG00000197948","FCHSD1"
"9628","ENSG00000197951.10",364.184610638309,395.295486782192,385.224192124828,"ENSG00000197951","ZNF71"
"9629","ENSG00000197956.10",3580.34331745241,3380.01464428443,3047.97474136649,"ENSG00000197956","S100A6"
"9630","ENSG00000197958.13",49944.7194174723,45396.0804355099,41266.027489767,"ENSG00000197958","RPL12"
"9631","ENSG00000197961.12",7010.05502391464,6452.72398370755,7509.44672065723,"ENSG00000197961","ZNF121"
